127.0.0.1, 2016-12-24 20:27:09, GET, /eadtools/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-12-24 20:27:09, GET, /eadtools/static/js/jquery.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-12-24 20:27:09, GET, /eadtools/static/js/share.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-12-24 20:27:09, GET, /eadtools/static/css/calendar.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-12-24 20:27:09, GET, /eadtools/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.006000
127.0.0.1, 2016-12-24 20:27:09, GET, /eadtools/static/js/web2py.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2016-12-24 20:27:09, GET, /eadtools/static/js/calendar.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-12-24 20:27:10, GET, /eadtools/static/images/twitter.png, HTTP/1.1, 304, 0.010000
127.0.0.1, 2016-12-24 20:27:10, GET, /eadtools/static/images/gplus-32.png, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-12-24 20:27:10, GET, /eadtools/static/images/facebook.png, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-12-24 20:27:35, GET, /eadtools/default/planosdeentrega/disciplina/planodeentrega.disciplina_id/1, HTTP/1.1, 200, 0.207000
127.0.0.1, 2016-12-24 20:27:41, GET, /eadtools/default/planosdeentrega, HTTP/1.1, 200, 0.247000
127.0.0.1, 2016-12-24 20:28:20, GET, /eadtools/default/planosdeentrega, HTTP/1.1, 200, 0.188000
127.0.0.1, 2016-12-24 20:28:21, GET, /eadtools/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.016000
127.0.0.1, 2016-12-24 20:28:21, GET, /eadtools/static/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-12-24 20:28:21, GET, /eadtools/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.016000
127.0.0.1, 2016-12-24 20:28:21, GET, /eadtools/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.016000
127.0.0.1, 2016-12-24 20:28:21, GET, /eadtools/static/js/jquery.js, HTTP/1.1, 304, 0.016000
127.0.0.1, 2016-12-24 20:28:21, GET, /eadtools/static/css/calendar.css, HTTP/1.1, 304, 0.016000
127.0.0.1, 2016-12-24 20:28:21, GET, /eadtools/static/js/calendar.js, HTTP/1.1, 304, 0.031000
127.0.0.1, 2016-12-24 20:28:21, GET, /eadtools/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.032000
127.0.0.1, 2016-12-24 20:28:21, GET, /eadtools/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-12-24 20:28:21, GET, /eadtools/static/js/share.js, HTTP/1.1, 304, 0.015000
127.0.0.1, 2016-12-24 20:28:21, GET, /eadtools/static/images/twitter.png, HTTP/1.1, 304, 0.015000
127.0.0.1, 2016-12-24 20:28:21, GET, /eadtools/static/images/gplus-32.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-12-24 20:28:29, GET, /eadtools/default/planosdeentrega/disciplina, HTTP/1.1, 200, 0.172000
127.0.0.1, 2016-12-24 20:30:00, GET, /eadtools/default/planosdeentrega/disciplina, HTTP/1.1, 200, 0.188000
127.0.0.1, 2016-12-24 20:30:00, GET, /eadtools/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.015000
127.0.0.1, 2016-12-24 20:30:00, GET, /eadtools/static/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-12-24 20:30:00, GET, /eadtools/static/js/calendar.js, HTTP/1.1, 304, 0.015000
127.0.0.1, 2016-12-24 20:30:00, GET, /eadtools/static/css/calendar.css, HTTP/1.1, 304, 0.016000
127.0.0.1, 2016-12-24 20:30:00, GET, /eadtools/static/js/jquery.js, HTTP/1.1, 304, 0.016000
4, 0.016000
127.0.0.1, 2016-12-24 20:30:00, GET, /eadtools/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.016000
